codepoint,character,character_name
U+0215,ȕ,LATIN SMALL LETTER U WITH DOUBLE GRAVE
U+0216,Ȗ,LATIN CAPITAL LETTER U WITH INVERTED BREVE
U+0217,ȗ,LATIN SMALL LETTER U WITH INVERTED BREVE
U+0218,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW
U+0219,ș,LATIN SMALL LETTER S WITH COMMA BELOW
U+021A,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW
U+021B,ț,LATIN SMALL LETTER T WITH COMMA BELOW
U+021C,Ȝ,LATIN CAPITAL LETTER YOGH
U+021D,ȝ,LATIN SMALL LETTER YOGH
U+021E,Ȟ,LATIN CAPITAL LETTER H WITH CARON
U+021F,ȟ,LATIN SMALL LETTER H WITH CARON
U+0220,Ƞ,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
U+0221,ȡ,LATIN SMALL LETTER D WITH CURL
U+0222,Ȣ,LATIN CAPITAL LETTER OU
U+0223,ȣ,LATIN SMALL LETTER OU
U+0224,Ȥ,LATIN CAPITAL LETTER Z WITH HOOK
U+0225,ȥ,LATIN SMALL LETTER Z WITH HOOK
U+0226,Ȧ,LATIN CAPITAL LETTER A WITH DOT ABOVE
U+0227,ȧ,LATIN SMALL LETTER A WITH DOT ABOVE
U+0228,Ȩ,LATIN CAPITAL LETTER E WITH CEDILLA
U+0229,ȩ,LATIN SMALL LETTER E WITH CEDILLA
U+022A,Ȫ,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
U+022B,ȫ,LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
U+022C,Ȭ,LATIN CAPITAL LETTER O WITH TILDE AND MACRON
U+022D,ȭ,LATIN SMALL LETTER O WITH TILDE AND MACRON
U+022E,Ȯ,LATIN CAPITAL LETTER O WITH DOT ABOVE
U+022F,ȯ,LATIN SMALL LETTER O WITH DOT ABOVE
U+0230,Ȱ,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
U+0231,ȱ,LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
U+0232,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON
U+0233,ȳ,LATIN SMALL LETTER Y WITH MACRON
U+0234,ȴ,LATIN SMALL LETTER L WITH CURL
U+0235,ȵ,LATIN SMALL LETTER N WITH CURL
U+0236,ȶ,LATIN SMALL LETTER T WITH CURL
U+0237,ȷ,LATIN SMALL LETTER DOTLESS J
U+0238,ȸ,LATIN SMALL LETTER DB DIGRAPH
U+0239,ȹ,LATIN SMALL LETTER QP DIGRAPH
U+023A,Ⱥ,LATIN CAPITAL LETTER A WITH STROKE
U+023B,Ȼ,LATIN CAPITAL LETTER C WITH STROKE
U+023C,ȼ,LATIN SMALL LETTER C WITH STROKE
U+023D,Ƚ,LATIN CAPITAL LETTER L WITH BAR
U+023E,Ⱦ,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
U+023F,ȿ,LATIN SMALL LETTER S WITH SWASH TAIL
U+0240,ɀ,LATIN SMALL LETTER Z WITH SWASH TAIL
U+0241,Ɂ,LATIN CAPITAL LETTER GLOTTAL STOP
U+0242,ɂ,LATIN SMALL LETTER GLOTTAL STOP
U+0243,Ƀ,LATIN CAPITAL LETTER B WITH STROKE
U+0244,Ʉ,LATIN CAPITAL LETTER U BAR
U+0245,Ʌ,LATIN CAPITAL LETTER TURNED V
U+0246,Ɇ,LATIN CAPITAL LETTER E WITH STROKE
U+0247,ɇ,LATIN SMALL LETTER E WITH STROKE
U+0248,Ɉ,LATIN CAPITAL LETTER J WITH STROKE
U+0249,ɉ,LATIN SMALL LETTER J WITH STROKE
U+024A,Ɋ,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
U+024B,ɋ,LATIN SMALL LETTER Q WITH HOOK TAIL
U+024C,Ɍ,LATIN CAPITAL LETTER R WITH STROKE
U+024D,ɍ,LATIN SMALL LETTER R WITH STROKE
U+024E,Ɏ,LATIN CAPITAL LETTER Y WITH STROKE
U+024F,ɏ,LATIN SMALL LETTER Y WITH STROKE
U+0250,ɐ,LATIN SMALL LETTER TURNED A
U+0251,ɑ,LATIN SMALL LETTER ALPHA
U+0252,ɒ,LATIN SMALL LETTER TURNED ALPHA
U+0253,ɓ,LATIN SMALL LETTER B WITH HOOK
U+0254,ɔ,LATIN SMALL LETTER OPEN O
U+0255,ɕ,LATIN SMALL LETTER C WITH CURL
U+0256,ɖ,LATIN SMALL LETTER D WITH TAIL
U+0257,ɗ,LATIN SMALL LETTER D WITH HOOK
U+0258,ɘ,LATIN SMALL LETTER REVERSED E
U+0259,ə,LATIN SMALL LETTER SCHWA
U+025A,ɚ,LATIN SMALL LETTER SCHWA WITH HOOK
U+025B,ɛ,LATIN SMALL LETTER OPEN E
U+025C,ɜ,LATIN SMALL LETTER REVERSED OPEN E
U+025D,ɝ,LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
U+025E,ɞ,LATIN SMALL LETTER CLOSED REVERSED OPEN E
U+025F,ɟ,LATIN SMALL LETTER DOTLESS J WITH STROKE
U+0260,ɠ,LATIN SMALL LETTER G WITH HOOK
U+0261,ɡ,LATIN SMALL LETTER SCRIPT G
U+0262,ɢ,LATIN LETTER SMALL CAPITAL G
U+0263,ɣ,LATIN SMALL LETTER GAMMA
U+0264,ɤ,LATIN SMALL LETTER RAMS HORN
U+0265,ɥ,LATIN SMALL LETTER TURNED H
U+0266,ɦ,LATIN SMALL LETTER H WITH HOOK
U+0267,ɧ,LATIN SMALL LETTER HENG WITH HOOK
U+0268,ɨ,LATIN SMALL LETTER I WITH STROKE
U+0269,ɩ,LATIN SMALL LETTER IOTA
U+026A,ɪ,LATIN LETTER SMALL CAPITAL I
U+026B,ɫ,LATIN SMALL LETTER L WITH MIDDLE TILDE
U+026C,ɬ,LATIN SMALL LETTER L WITH BELT
U+026D,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK
U+026E,ɮ,LATIN SMALL LETTER LEZH
U+026F,ɯ,LATIN SMALL LETTER TURNED M
U+0270,ɰ,LATIN SMALL LETTER TURNED M WITH LONG LEG
U+0271,ɱ,LATIN SMALL LETTER M WITH HOOK
U+0272,ɲ,LATIN SMALL LETTER N WITH LEFT HOOK
U+0273,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK
U+0274,ɴ,LATIN LETTER SMALL CAPITAL N
U+0275,ɵ,LATIN SMALL LETTER BARRED O
U+0276,ɶ,LATIN LETTER SMALL CAPITAL OE
U+0277,ɷ,LATIN SMALL LETTER CLOSED OMEGA
U+0278,ɸ,LATIN SMALL LETTER PHI
U+0279,ɹ,LATIN SMALL LETTER TURNED R
U+027A,ɺ,LATIN SMALL LETTER TURNED R WITH LONG LEG
U+027B,ɻ,LATIN SMALL LETTER TURNED R WITH HOOK
U+027C,ɼ,LATIN SMALL LETTER R WITH LONG LEG
U+027D,ɽ,LATIN SMALL LETTER R WITH TAIL
U+027E,ɾ,LATIN SMALL LETTER R WITH FISHHOOK
U+027F,ɿ,LATIN SMALL LETTER REVERSED R WITH FISHHOOK
U+0280,ʀ,LATIN LETTER SMALL CAPITAL R
U+0281,ʁ,LATIN LETTER SMALL CAPITAL INVERTED R
U+0282,ʂ,LATIN SMALL LETTER S WITH HOOK
U+0283,ʃ,LATIN SMALL LETTER ESH
U+0284,ʄ,LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
U+0285,ʅ,LATIN SMALL LETTER SQUAT REVERSED ESH
U+0286,ʆ,LATIN SMALL LETTER ESH WITH CURL
U+0287,ʇ,LATIN SMALL LETTER TURNED T
U+0288,ʈ,LATIN SMALL LETTER T WITH RETROFLEX HOOK
U+0289,ʉ,LATIN SMALL LETTER U BAR
U+028A,ʊ,LATIN SMALL LETTER UPSILON
U+028B,ʋ,LATIN SMALL LETTER V WITH HOOK
U+028C,ʌ,LATIN SMALL LETTER TURNED V
U+028D,ʍ,LATIN SMALL LETTER TURNED W
U+028E,ʎ,LATIN SMALL LETTER TURNED Y
U+028F,ʏ,LATIN LETTER SMALL CAPITAL Y
U+0290,ʐ,LATIN SMALL LETTER Z WITH RETROFLEX HOOK
U+0291,ʑ,LATIN SMALL LETTER Z WITH CURL
U+0292,ʒ,LATIN SMALL LETTER EZH
U+0293,ʓ,LATIN SMALL LETTER EZH WITH CURL
U+0294,ʔ,LATIN LETTER GLOTTAL STOP
U+0295,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE
U+0296,ʖ,LATIN LETTER INVERTED GLOTTAL STOP
U+0297,ʗ,LATIN LETTER STRETCHED C
U+0298,ʘ,LATIN LETTER BILABIAL CLICK
U+0299,ʙ,LATIN LETTER SMALL CAPITAL B
U+029A,ʚ,LATIN SMALL LETTER CLOSED OPEN E
U+029B,ʛ,LATIN LETTER SMALL CAPITAL G WITH HOOK
U+029C,ʜ,LATIN LETTER SMALL CAPITAL H
U+029D,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL
U+029E,ʞ,LATIN SMALL LETTER TURNED K
U+029F,ʟ,LATIN LETTER SMALL CAPITAL L
U+02A0,ʠ,LATIN SMALL LETTER Q WITH HOOK
U+02A1,ʡ,LATIN LETTER GLOTTAL STOP WITH STROKE
U+02A2,ʢ,LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
U+02A3,ʣ,LATIN SMALL LETTER DZ DIGRAPH
U+02A4,ʤ,LATIN SMALL LETTER DEZH DIGRAPH
U+02A5,ʥ,LATIN SMALL LETTER DZ DIGRAPH WITH CURL
U+02A6,ʦ,LATIN SMALL LETTER TS DIGRAPH
U+02A7,ʧ,LATIN SMALL LETTER TESH DIGRAPH
U+02A8,ʨ,LATIN SMALL LETTER TC DIGRAPH WITH CURL
U+02A9,ʩ,LATIN SMALL LETTER FENG DIGRAPH
U+02AA,ʪ,LATIN SMALL LETTER LS DIGRAPH
U+02AB,ʫ,LATIN SMALL LETTER LZ DIGRAPH
U+02AC,ʬ,LATIN LETTER BILABIAL PERCUSSIVE
U+02AD,ʭ,LATIN LETTER BIDENTAL PERCUSSIVE
U+02AE,ʮ,LATIN SMALL LETTER TURNED H WITH FISHHOOK
U+02AF,ʯ,LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
U+02B0,ʰ,MODIFIER LETTER SMALL H
U+02B1,ʱ,MODIFIER LETTER SMALL H WITH HOOK
U+02B2,ʲ,MODIFIER LETTER SMALL J
U+02B3,ʳ,MODIFIER LETTER SMALL R
U+02B4,ʴ,MODIFIER LETTER SMALL TURNED R
U+02B5,ʵ,MODIFIER LETTER SMALL TURNED R WITH HOOK
U+02B6,ʶ,MODIFIER LETTER SMALL CAPITAL INVERTED R
U+02B7,ʷ,MODIFIER LETTER SMALL W
U+02B8,ʸ,MODIFIER LETTER SMALL Y
U+02B9,ʹ,MODIFIER LETTER PRIME
U+02BA,ʺ,MODIFIER LETTER DOUBLE PRIME
U+02BB,ʻ,MODIFIER LETTER TURNED COMMA
U+02BC,ʼ,MODIFIER LETTER APOSTROPHE
U+02BD,ʽ,MODIFIER LETTER REVERSED COMMA
U+02BE,ʾ,MODIFIER LETTER RIGHT HALF RING
U+02BF,ʿ,MODIFIER LETTER LEFT HALF RING
U+02C0,ˀ,MODIFIER LETTER GLOTTAL STOP
U+02C1,ˁ,MODIFIER LETTER REVERSED GLOTTAL STOP
U+02C2,˂,MODIFIER LETTER LEFT ARROWHEAD
U+02C3,˃,MODIFIER LETTER RIGHT ARROWHEAD
U+02C4,˄,MODIFIER LETTER UP ARROWHEAD
U+02C5,˅,MODIFIER LETTER DOWN ARROWHEAD
U+02C6,ˆ,MODIFIER LETTER CIRCUMFLEX ACCENT
U+02C7,ˇ,CARON
U+02C8,ˈ,MODIFIER LETTER VERTICAL LINE
U+02C9,ˉ,MODIFIER LETTER MACRON
U+02CA,ˊ,MODIFIER LETTER ACUTE ACCENT
U+02CB,ˋ,MODIFIER LETTER GRAVE ACCENT
U+02CC,ˌ,MODIFIER LETTER LOW VERTICAL LINE
U+02CD,ˍ,MODIFIER LETTER LOW MACRON
U+02CE,ˎ,MODIFIER LETTER LOW GRAVE ACCENT
U+02CF,ˏ,MODIFIER LETTER LOW ACUTE ACCENT
U+02D0,ː,MODIFIER LETTER TRIANGULAR COLON
U+02D1,ˑ,MODIFIER LETTER HALF TRIANGULAR COLON
U+02D2,˒,MODIFIER LETTER CENTRED RIGHT HALF RING
U+02D3,˓,MODIFIER LETTER CENTRED LEFT HALF RING
U+02D4,˔,MODIFIER LETTER UP TACK
U+02D5,˕,MODIFIER LETTER DOWN TACK
U+02D6,˖,MODIFIER LETTER PLUS SIGN
U+02D7,˗,MODIFIER LETTER MINUS SIGN
U+02D8,˘,BREVE
U+02D9,˙,DOT ABOVE
U+02DA,˚,RING ABOVE
U+02DB,˛,OGONEK
U+02DC,˜,SMALL TILDE
U+02DD,˝,DOUBLE ACUTE ACCENT
U+02DE,˞,MODIFIER LETTER RHOTIC HOOK
U+02DF,˟,MODIFIER LETTER CROSS ACCENT
U+02E0,ˠ,MODIFIER LETTER SMALL GAMMA
U+02E1,ˡ,MODIFIER LETTER SMALL L
U+02E2,ˢ,MODIFIER LETTER SMALL S
U+02E3,ˣ,MODIFIER LETTER SMALL X
U+02E4,ˤ,MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
U+02E5,˥,MODIFIER LETTER EXTRA-HIGH TONE BAR
U+02E6,˦,MODIFIER LETTER HIGH TONE BAR
U+02E7,˧,MODIFIER LETTER MID TONE BAR
U+02E8,˨,MODIFIER LETTER LOW TONE BAR
U+02E9,˩,MODIFIER LETTER EXTRA-LOW TONE BAR
U+02EA,˪,MODIFIER LETTER YIN DEPARTING TONE MARK
U+02EB,˫,MODIFIER LETTER YANG DEPARTING TONE MARK
U+02EC,ˬ,MODIFIER LETTER VOICING
U+02ED,˭,MODIFIER LETTER UNASPIRATED
U+02EE,ˮ,MODIFIER LETTER DOUBLE APOSTROPHE
U+02EF,˯,MODIFIER LETTER LOW DOWN ARROWHEAD
U+02F0,˰,MODIFIER LETTER LOW UP ARROWHEAD
U+02F1,˱,MODIFIER LETTER LOW LEFT ARROWHEAD
U+02F2,˲,MODIFIER LETTER LOW RIGHT ARROWHEAD
U+02F3,˳,MODIFIER LETTER LOW RING
U+02F4,˴,MODIFIER LETTER MIDDLE GRAVE ACCENT
U+02F5,˵,MODIFIER LETTER MIDDLE DOUBLE GRAVE ACCENT
U+02F6,˶,MODIFIER LETTER MIDDLE DOUBLE ACUTE ACCENT
U+02F7,˷,MODIFIER LETTER LOW TILDE
U+02F8,˸,MODIFIER LETTER RAISED COLON
U+02F9,˹,MODIFIER LETTER BEGIN HIGH TONE
U+02FA,˺,MODIFIER LETTER END HIGH TONE
U+02FB,˻,MODIFIER LETTER BEGIN LOW TONE
U+02FC,˼,MODIFIER LETTER END LOW TONE
U+02FD,˽,MODIFIER LETTER SHELF
U+02FE,˾,MODIFIER LETTER OPEN SHELF
U+02FF,˿,MODIFIER LETTER LOW LEFT ARROW
U+0300,̀,COMBINING GRAVE ACCENT
U+0301,́,COMBINING ACUTE ACCENT
U+0302,̂,COMBINING CIRCUMFLEX ACCENT
U+0303,̃,COMBINING TILDE
U+0304,̄,COMBINING MACRON
U+0305,̅,COMBINING OVERLINE
U+0306,̆,COMBINING BREVE
U+0307,̇,COMBINING DOT ABOVE
U+0308,̈,COMBINING DIAERESIS
U+0309,̉,COMBINING HOOK ABOVE
U+030A,̊,COMBINING RING ABOVE
U+030B,̋,COMBINING DOUBLE ACUTE ACCENT
U+030C,̌,COMBINING CARON
U+030D,̍,COMBINING VERTICAL LINE ABOVE
U+030E,̎,COMBINING DOUBLE VERTICAL LINE ABOVE
U+030F,̏,COMBINING DOUBLE GRAVE ACCENT
U+0310,̐,COMBINING CANDRABINDU
U+0311,̑,COMBINING INVERTED BREVE
U+0312,̒,COMBINING TURNED COMMA ABOVE
U+0313,̓,COMBINING COMMA ABOVE
U+0314,̔,COMBINING REVERSED COMMA ABOVE
U+0315,̕,COMBINING COMMA ABOVE RIGHT
U+0316,̖,COMBINING GRAVE ACCENT BELOW
U+0317,̗,COMBINING ACUTE ACCENT BELOW
U+0318,̘,COMBINING LEFT TACK BELOW
U+0319,̙,COMBINING RIGHT TACK BELOW
U+031A,̚,COMBINING LEFT ANGLE ABOVE
U+031B,̛,COMBINING HORN
U+031C,̜,COMBINING LEFT HALF RING BELOW
U+031D,̝,COMBINING UP TACK BELOW
U+031E,̞,COMBINING DOWN TACK BELOW
U+031F,̟,COMBINING PLUS SIGN BELOW
U+0320,̠,COMBINING MINUS SIGN BELOW
U+0321,̡,COMBINING PALATALIZED HOOK BELOW
U+0322,̢,COMBINING RETROFLEX HOOK BELOW
U+0323,̣,COMBINING DOT BELOW
U+0324,̤,COMBINING DIAERESIS BELOW
U+0325,̥,COMBINING RING BELOW
U+0326,̦,COMBINING COMMA BELOW
U+0327,̧,COMBINING CEDILLA
U+0328,̨,COMBINING OGONEK
U+0329,̩,COMBINING VERTICAL LINE BELOW
U+032A,̪,COMBINING BRIDGE BELOW
U+032B,̫,COMBINING INVERTED DOUBLE ARCH BELOW
U+032C,̬,COMBINING CARON BELOW
U+032D,̭,COMBINING CIRCUMFLEX ACCENT BELOW
U+032E,̮,COMBINING BREVE BELOW
U+032F,̯,COMBINING INVERTED BREVE BELOW
U+0330,̰,COMBINING TILDE BELOW
U+0331,̱,COMBINING MACRON BELOW
U+0332,̲,COMBINING LOW LINE
U+0333,̳,COMBINING DOUBLE LOW LINE
U+0334,̴,COMBINING TILDE OVERLAY
U+0335,̵,COMBINING SHORT STROKE OVERLAY
U+0336,̶,COMBINING LONG STROKE OVERLAY
U+0337,̷,COMBINING SHORT SOLIDUS OVERLAY
U+0338,̸,COMBINING LONG SOLIDUS OVERLAY
U+0339,̹,COMBINING RIGHT HALF RING BELOW
U+033A,̺,COMBINING INVERTED BRIDGE BELOW
U+033B,̻,COMBINING SQUARE BELOW
U+033C,̼,COMBINING SEAGULL BELOW
U+033D,̽,COMBINING X ABOVE
U+033E,̾,COMBINING VERTICAL TILDE
U+033F,̿,COMBINING DOUBLE OVERLINE
U+0340,̀,COMBINING GRAVE TONE MARK
U+0341,́,COMBINING ACUTE TONE MARK
U+0342,͂,COMBINING GREEK PERISPOMENI
U+0343,̓,COMBINING GREEK KORONIS
U+0344,̈́,COMBINING GREEK DIALYTIKA TONOS
U+0345,ͅ,COMBINING GREEK YPOGEGRAMMENI
U+0346,͆,COMBINING BRIDGE ABOVE
U+0347,͇,COMBINING EQUALS SIGN BELOW
U+0348,͈,COMBINING DOUBLE VERTICAL LINE BELOW
U+0349,͉,COMBINING LEFT ANGLE BELOW
U+034A,͊,COMBINING NOT TILDE ABOVE
U+034B,͋,COMBINING HOMOTHETIC ABOVE
U+034C,͌,COMBINING ALMOST EQUAL TO ABOVE
U+034D,͍,COMBINING LEFT RIGHT ARROW BELOW
U+034E,͎,COMBINING UPWARDS ARROW BELOW
U+034F,͏,COMBINING GRAPHEME JOINER
U+0350,͐,COMBINING RIGHT ARROWHEAD ABOVE
U+0351,͑,COMBINING LEFT HALF RING ABOVE
U+0352,͒,COMBINING FERMATA
U+0353,͓,COMBINING X BELOW
U+0354,͔,COMBINING LEFT ARROWHEAD BELOW
U+0355,͕,COMBINING RIGHT ARROWHEAD BELOW
U+0356,͖,COMBINING RIGHT ARROWHEAD AND UP ARROWHEAD BELOW
U+0357,͗,COMBINING RIGHT HALF RING ABOVE
U+0358,͘,COMBINING DOT ABOVE RIGHT
U+0359,͙,COMBINING ASTERISK BELOW
U+035A,͚,COMBINING DOUBLE RING BELOW
U+035B,͛,COMBINING ZIGZAG ABOVE
U+035C,͜,COMBINING DOUBLE BREVE BELOW
U+035D,͝,COMBINING DOUBLE BREVE
U+035E,͞,COMBINING DOUBLE MACRON
U+035F,͟,COMBINING DOUBLE MACRON BELOW
U+0360,͠,COMBINING DOUBLE TILDE
U+0361,͡,COMBINING DOUBLE INVERTED BREVE
U+0362,͢,COMBINING DOUBLE RIGHTWARDS ARROW BELOW
U+0363,ͣ,COMBINING LATIN SMALL LETTER A
U+0364,ͤ,COMBINING LATIN SMALL LETTER E
U+0365,ͥ,COMBINING LATIN SMALL LETTER I
U+0366,ͦ,COMBINING LATIN SMALL LETTER O
U+0367,ͧ,COMBINING LATIN SMALL LETTER U
U+0368,ͨ,COMBINING LATIN SMALL LETTER C
U+0369,ͩ,COMBINING LATIN SMALL LETTER D
U+036A,ͪ,COMBINING LATIN SMALL LETTER H
U+036B,ͫ,COMBINING LATIN SMALL LETTER M
U+036C,ͬ,COMBINING LATIN SMALL LETTER R
U+036D,ͭ,COMBINING LATIN SMALL LETTER T
U+036E,ͮ,COMBINING LATIN SMALL LETTER V
U+036F,ͯ,COMBINING LATIN SMALL LETTER X
U+0370,Ͱ,GREEK CAPITAL LETTER HETA
U+0371,ͱ,GREEK SMALL LETTER HETA
U+0372,Ͳ,GREEK CAPITAL LETTER ARCHAIC SAMPI
U+0373,ͳ,GREEK SMALL LETTER ARCHAIC SAMPI
U+0374,ʹ,GREEK NUMERAL SIGN
U+0375,͵,GREEK LOWER NUMERAL SIGN
U+0376,Ͷ,GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
U+0377,ͷ,GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
U+037A,ͺ,GREEK YPOGEGRAMMENI
U+037B,ͻ,GREEK SMALL REVERSED LUNATE SIGMA SYMBOL
U+037C,ͼ,GREEK SMALL DOTTED LUNATE SIGMA SYMBOL
U+037D,ͽ,GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+037E,;,GREEK QUESTION MARK
U+037F,Ϳ,GREEK CAPITAL LETTER YOT
U+0384,΄,GREEK TONOS
U+0385,΅,GREEK DIALYTIKA TONOS
U+0386,Ά,GREEK CAPITAL LETTER ALPHA WITH TONOS
U+0387,·,GREEK ANO TELEIA
U+0388,Έ,GREEK CAPITAL LETTER EPSILON WITH TONOS
U+0389,Ή,GREEK CAPITAL LETTER ETA WITH TONOS
U+038A,Ί,GREEK CAPITAL LETTER IOTA WITH TONOS
U+038C,Ό,GREEK CAPITAL LETTER OMICRON WITH TONOS
U+038E,Ύ,GREEK CAPITAL LETTER UPSILON WITH TONOS
U+038F,Ώ,GREEK CAPITAL LETTER OMEGA WITH TONOS
U+0390,ΐ,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
U+0391,Α,GREEK CAPITAL LETTER ALPHA
U+0392,Β,GREEK CAPITAL LETTER BETA
U+0393,Γ,GREEK CAPITAL LETTER GAMMA
U+0394,Δ,GREEK CAPITAL LETTER DELTA
U+0395,Ε,GREEK CAPITAL LETTER EPSILON
U+0396,Ζ,GREEK CAPITAL LETTER ZETA
U+0397,Η,GREEK CAPITAL LETTER ETA
U+0398,Θ,GREEK CAPITAL LETTER THETA
U+0399,Ι,GREEK CAPITAL LETTER IOTA
U+039A,Κ,GREEK CAPITAL LETTER KAPPA
U+039B,Λ,GREEK CAPITAL LETTER LAMDA
U+039C,Μ,GREEK CAPITAL LETTER MU
U+039D,Ν,GREEK CAPITAL LETTER NU
U+039E,Ξ,GREEK CAPITAL LETTER XI
U+039F,Ο,GREEK CAPITAL LETTER OMICRON
U+03A0,Π,GREEK CAPITAL LETTER PI
U+03A1,Ρ,GREEK CAPITAL LETTER RHO
U+03A3,Σ,GREEK CAPITAL LETTER SIGMA
U+03A4,Τ,GREEK CAPITAL LETTER TAU
U+03A5,Υ,GREEK CAPITAL LETTER UPSILON
U+03A6,Φ,GREEK CAPITAL LETTER PHI
U+03A7,Χ,GREEK CAPITAL LETTER CHI
U+03A8,Ψ,GREEK CAPITAL LETTER PSI
U+03A9,Ω,GREEK CAPITAL LETTER OMEGA
U+03AA,Ϊ,GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
U+03AB,Ϋ,GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
U+03AC,ά,GREEK SMALL LETTER ALPHA WITH TONOS
U+03AD,έ,GREEK SMALL LETTER EPSILON WITH TONOS
U+03AE,ή,GREEK SMALL LETTER ETA WITH TONOS
U+03AF,ί,GREEK SMALL LETTER IOTA WITH TONOS
U+03B0,ΰ,GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
U+03B1,α,GREEK SMALL LETTER ALPHA
U+03B2,β,GREEK SMALL LETTER BETA
U+03B3,γ,GREEK SMALL LETTER GAMMA
U+03B4,δ,GREEK SMALL LETTER DELTA
U+03B5,ε,GREEK SMALL LETTER EPSILON
U+03B6,ζ,GREEK SMALL LETTER ZETA
U+03B7,η,GREEK SMALL LETTER ETA
U+03B8,θ,GREEK SMALL LETTER THETA
U+03B9,ι,GREEK SMALL LETTER IOTA
U+03BA,κ,GREEK SMALL LETTER KAPPA
U+03BB,λ,GREEK SMALL LETTER LAMDA
U+03BC,μ,GREEK SMALL LETTER MU
U+03BD,ν,GREEK SMALL LETTER NU
U+03BE,ξ,GREEK SMALL LETTER XI
U+03BF,ο,GREEK SMALL LETTER OMICRON
U+03C0,π,GREEK SMALL LETTER PI
U+03C1,ρ,GREEK SMALL LETTER RHO
U+03C2,ς,GREEK SMALL LETTER FINAL SIGMA
U+03C3,σ,GREEK SMALL LETTER SIGMA
U+03C4,τ,GREEK SMALL LETTER TAU
U+03C5,υ,GREEK SMALL LETTER UPSILON
U+03C6,φ,GREEK SMALL LETTER PHI
U+03C7,χ,GREEK SMALL LETTER CHI
U+03C8,ψ,GREEK SMALL LETTER PSI
U+03C9,ω,GREEK SMALL LETTER OMEGA
U+03CA,ϊ,GREEK SMALL LETTER IOTA WITH DIALYTIKA
U+03CB,ϋ,GREEK SMALL LETTER UPSILON WITH DIALYTIKA
U+03CC,ό,GREEK SMALL LETTER OMICRON WITH TONOS
U+03CD,ύ,GREEK SMALL LETTER UPSILON WITH TONOS
U+03CE,ώ,GREEK SMALL LETTER OMEGA WITH TONOS
U+03CF,Ϗ,GREEK CAPITAL KAI SYMBOL
U+03D0,ϐ,GREEK BETA SYMBOL
U+03D1,ϑ,GREEK THETA SYMBOL
U+03D2,ϒ,GREEK UPSILON WITH HOOK SYMBOL
U+03D3,ϓ,GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
U+03D4,ϔ,GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
U+03D5,ϕ,GREEK PHI SYMBOL
U+03D6,ϖ,GREEK PI SYMBOL
U+03D7,ϗ,GREEK KAI SYMBOL
U+03D8,Ϙ,GREEK LETTER ARCHAIC KOPPA
U+03D9,ϙ,GREEK SMALL LETTER ARCHAIC KOPPA
U+03DA,Ϛ,GREEK LETTER STIGMA
U+03DB,ϛ,GREEK SMALL LETTER STIGMA
U+03DC,Ϝ,GREEK LETTER DIGAMMA
U+03DD,ϝ,GREEK SMALL LETTER DIGAMMA
U+03DE,Ϟ,GREEK LETTER KOPPA
U+03DF,ϟ,GREEK SMALL LETTER KOPPA
U+03E0,Ϡ,GREEK LETTER SAMPI
U+03E1,ϡ,GREEK SMALL LETTER SAMPI
U+03E2,Ϣ,COPTIC CAPITAL LETTER SHEI
U+03E3,ϣ,COPTIC SMALL LETTER SHEI
U+03E4,Ϥ,COPTIC CAPITAL LETTER FEI
U+03E5,ϥ,COPTIC SMALL LETTER FEI
U+03E6,Ϧ,COPTIC CAPITAL LETTER KHEI
U+03E7,ϧ,COPTIC SMALL LETTER KHEI
U+03E8,Ϩ,COPTIC CAPITAL LETTER HORI
U+03E9,ϩ,COPTIC SMALL LETTER HORI
U+03EA,Ϫ,COPTIC CAPITAL LETTER GANGIA
U+03EB,ϫ,COPTIC SMALL LETTER GANGIA
U+03EC,Ϭ,COPTIC CAPITAL LETTER SHIMA
